features,FC,log2(FC),p.ajusted,-log10(p)
0.958_138.05499,26.864,4.7476,4.69E-06,5.329
14.279_441.37311,13.393,3.7434,0.00051345,3.2895
11.77_331.24905,10.657,3.4137,0.0020118,2.6964
1.703_230.11353,0.68429,-0.54732,0.0026815,2.5716
1.114_134.04726,3.3358,1.738,0.0041427,2.3827
1.131_136.0618,4.3941,2.1356,0.0046764,2.3301
11.128_283.06134,418.91,8.7105,0.0050637,2.2955
1.026_133.01428,11.538,3.5284,0.0050637,2.2955
0.957_215.03285,113.2,6.8227,0.0057616,2.2395
1.447_175.02483,4.5738,2.1934,0.0091205,2.04
1.176_130.08625,1.7923,0.84185,0.0091205,2.04
12.839_339.25073,2.0848,1.0599,0.0099755,2.0011
15.805_297.24358,2.7464,1.4575,0.017406,1.7593
0.955_176.10289,2.3184,1.2131,0.033569,1.4741
13.355_315.25417,3.132,1.6471,0.036368,1.4393
0.954_149.04557,2.5594,1.3558,0.048184,1.3171
1.206_124.03927,2.4885,1.3153,0.048958,1.3102
0.996_246.18116,5.0478,2.3357,0.049282,1.3073
14.913_295.22793,4.9451,2.306,0.049282,1.3073
0.827_146.16522,3.3425,1.7409,0.063918,1.1944
11.377_297.24275,0.52456,-0.93083,0.063918,1.1944
1.233_151.02622,1.8319,0.87337,0.063918,1.1944
8.067_459.25059,0.78645,-0.34657,0.084645,1.0724
8.867_234.11364,33.513,5.0666,0.087345,1.0588
15.784_256.26353,0.15703,-2.6708,0.087345,1.0588
0.828_89.10723,4.1781,2.0628,0.087345,1.0588
0.957_87.04392,3.4569,1.7895,0.087345,1.0588
9.149_271.0613,3.1409,1.6512,0.087345,1.0588
13.817_300.28988,0.36492,-1.4543,0.087345,1.0588
1.717_257.04448,0.78896,-0.34198,0.087345,1.0588
6.343_349.18367,0.82517,-0.27723,0.087345,1.0588
0.958_195.08754,0.57012,-0.81067,0.092895,1.032
11.383_279.23189,0.58599,-0.77106,0.10411,0.98249
8.813_201.11332,0.81676,-0.29202,0.10411,0.98249
1.016_131.1179,3.1691,1.6641,0.10503,0.97871
0.919_181.07181,6.96,2.7991,0.11159,0.95236
1.134_72.08078,2.0852,1.0602,0.11159,0.95236
8.457_243.12383,0.77045,-0.37622,0.12117,0.91661
6.503_433.20487,0.8357,-0.25895,0.12117,0.91661
